Text,Book,Chapter
Or bid the furious wind be still.,BOOK III,Canto XXXI. Ravan.
He glorious in his high estate,BOOK III,Canto XXXI. Ravan.
"The triple world could devastate,",BOOK III,Canto XXXI. Ravan.
"And there, supreme of men, could place",BOOK III,Canto XXXI. Ravan.
His creatures of a new-born race.,BOOK III,Canto XXXI. Ravan.
Never can mighty Rama be,BOOK III,Canto XXXI. Ravan.
"O'ercome in fight, my King, by thee.",BOOK III,Canto XXXI. Ravan.
Thy giant host the day might win,BOOK III,Canto XXXI. Ravan.
"From him, if heaven were gained by sin.",BOOK III,Canto XXXI. Ravan.
"If Gods were joined with demons, they",BOOK III,Canto XXXI. Ravan.
"Could ne'er, I ween, that hero slay,",BOOK III,Canto XXXI. Ravan.
But guile may kill the wondrous man;,BOOK III,Canto XXXI. Ravan.
Attend while I disclose the plan.,BOOK III,Canto XXXI. Ravan.
"His wife, above all women graced,",BOOK III,Canto XXXI. Ravan.
"Is Sita of the dainty waist,",BOOK III,Canto XXXI. Ravan.
"With limbs to fair proportion true,",BOOK III,Canto XXXI. Ravan.
"And a soft skin of lustrous hue,",BOOK III,Canto XXXI. Ravan.
Round neck and arm rich gems are twined:,BOOK III,Canto XXXI. Ravan.
She is the gem of womankind.,BOOK III,Canto XXXI. Ravan.
"With her no bright Gandharvi vies,",BOOK III,Canto XXXI. Ravan.
No nymph or Goddess in the skies;,BOOK III,Canto XXXI. Ravan.
And none to rival her would dare,BOOK III,Canto XXXI. Ravan.
'Mid dames who part the long black hair.,BOOK III,Canto XXXI. Ravan.
"That hero in the wood beguile,",BOOK III,Canto XXXI. Ravan.
And steal his lovely spouse the while.,BOOK III,Canto XXXI. Ravan.
"Reft of his darling wife, be sure,",BOOK III,Canto XXXI. Ravan.
"Brief days the mourner will endure.""",BOOK III,Canto XXXI. Ravan.
With flattering hope of triumph moved,BOOK III,Canto XXXI. Ravan.
"The giant king that plan approved,",BOOK III,Canto XXXI. Ravan.
"Pondered the counsel in his breast,",BOOK III,Canto XXXI. Ravan.
And then Akampan thus addressed:,BOOK III,Canto XXXI. Ravan.
"""Forth in my car I go at morn,",BOOK III,Canto XXXI. Ravan.
"None but the driver with me borne,",BOOK III,Canto XXXI. Ravan.
And this fair Sita will I bring,BOOK III,Canto XXXI. Ravan.
"Back to my city triumphing.""",BOOK III,Canto XXXI. Ravan.
Forth in his car by asses drawn,BOOK III,Canto XXXI. Ravan.
"The giant monarch sped at dawn,",BOOK III,Canto XXXI. Ravan.
"Bright as the sun, the chariot cast",BOOK III,Canto XXXI. Ravan.
Light through the sky as on it passed.,BOOK III,Canto XXXI. Ravan.
Then high in air that best of cars,BOOK III,Canto XXXI. Ravan.
"Traversed the path of lunar stars,",BOOK III,Canto XXXI. Ravan.
Sending a fitful radiance pale,BOOK III,Canto XXXI. Ravan.
As moonbeams shot through cloudy veil.,BOOK III,Canto XXXI. Ravan.
Far on his airy way he flew:,BOOK III,Canto XXXI. Ravan.
Near Tadakeya's(483) grove he drew.,BOOK III,Canto XXXI. Ravan.
"Maricha welcomed him, and placed",BOOK III,Canto XXXI. Ravan.
"Before him food which giants taste,",BOOK III,Canto XXXI. Ravan.
"With honour led him to a seat,",BOOK III,Canto XXXI. Ravan.
And brought him water for his feet;,BOOK III,Canto XXXI. Ravan.
And then with timely words addressed,BOOK III,Canto XXXI. Ravan.
Such question to his royal guest:,BOOK III,Canto XXXI. Ravan.
"""Speak, is it well with thee whose sway",BOOK III,Canto XXXI. Ravan.
The giant multitudes obey?,BOOK III,Canto XXXI. Ravan.
"I know not all, and ask in fear",BOOK III,Canto XXXI. Ravan.
"The cause, O King, why thou art here.""",BOOK III,Canto XXXI. Ravan.
"Rava, the giants' mighty king,",BOOK III,Canto XXXI. Ravan.
"Heard wise Maricha's questioning,",BOOK III,Canto XXXI. Ravan.
"And told with ready answer, taught",BOOK III,Canto XXXI. Ravan.
"In eloquence, the cause he sought:",BOOK III,Canto XXXI. Ravan.
"""My guards, the bravest of my band,",BOOK III,Canto XXXI. Ravan.
"Are slain by Rama's vigorous hand,",BOOK III,Canto XXXI. Ravan.
"And Janasthan, that feared no hate",BOOK III,Canto XXXI. Ravan.
"Of foes, is rendered desolate.",BOOK III,Canto XXXI. Ravan.
"Come, aid me in the plan I lay",BOOK III,Canto XXXI. Ravan.
"To steal the conqueror's wife away.""",BOOK III,Canto XXXI. Ravan.
"Maricha heard the king's request,",BOOK III,Canto XXXI. Ravan.
And thus the giant chief addressed:,BOOK III,Canto XXXI. Ravan.
"""What foe in friendly guise is he",BOOK III,Canto XXXI. Ravan.
Who spoke of Sita's name to thee?,BOOK III,Canto XXXI. Ravan.
Who is the wretch whose thought would bring,BOOK III,Canto XXXI. Ravan.
Destruction on the giants' king?,BOOK III,Canto XXXI. Ravan.
"Whose is the evil counsel, say,",BOOK III,Canto XXXI. Ravan.
"That bids thee bear his wife away,",BOOK III,Canto XXXI. Ravan.
And careless of thy life provoke,BOOK III,Canto XXXI. Ravan.
Earth's loftiest with threatening stroke?,BOOK III,Canto XXXI. Ravan.
A foe is he who dared suggest,BOOK III,Canto XXXI. Ravan.
"This hopeless folly to thy breast,",BOOK III,Canto XXXI. Ravan.
Whose ill advice would bid thee draw,BOOK III,Canto XXXI. Ravan.
The venomed fang from serpent's jaw.,BOOK III,Canto XXXI. Ravan.
By whose unwise suggestion led,BOOK III,Canto XXXI. Ravan.
Wilt thou the path of ruin tread?,BOOK III,Canto XXXI. Ravan.
Whence falls the blow that would destroy,BOOK III,Canto XXXI. Ravan.
Thy gentle sleep of ease and joy?,BOOK III,Canto XXXI. Ravan.
Like some wild elephant is he,BOOK III,Canto XXXI. Ravan.
"That rears his trunk on high,",BOOK III,Canto XXXI. Ravan.
"Lord of an ancient pedigree,",BOOK III,Canto XXXI. Ravan.
"Huge tusks, and furious eye.",BOOK III,Canto XXXI. Ravan.
"Ravan, no rover of the night",BOOK III,Canto XXXI. Ravan.
"With bravest heart can brook,",BOOK III,Canto XXXI. Ravan.
"Met in the front of deadly fight,",BOOK III,Canto XXXI. Ravan.
On Raghu's son to look.,BOOK III,Canto XXXI. Ravan.
"The giant hosts were brave and strong,",BOOK III,Canto XXXI. Ravan.
Good at the bow and spear:,BOOK III,Canto XXXI. Ravan.
"But Rama slew the routed throng,",BOOK III,Canto XXXI. Ravan.
A lion 'mid the deer.,BOOK III,Canto XXXI. Ravan.
"No lion's tooth can match his sword,",BOOK III,Canto XXXI. Ravan.
Or arrows fiercely shot:,BOOK III,Canto XXXI. Ravan.
"He sleeps, he sleeps--the lion lord;",BOOK III,Canto XXXI. Ravan.
Be wise and rouse him not.,BOOK III,Canto XXXI. Ravan.
"O Monarch of the giants, well",BOOK III,Canto XXXI. Ravan.
"Upon my counsel think,",BOOK III,Canto XXXI. Ravan.
Lest thou for ever in the hell,BOOK III,Canto XXXI. Ravan.
Of Rama's vengeance sink:,BOOK III,Canto XXXI. Ravan.
"A hell, where deadly shafts are sent",BOOK III,Canto XXXI. Ravan.
"From his tremendous-bow,",BOOK III,Canto XXXI. Ravan.
"While his great arms all flight prevent,",BOOK III,Canto XXXI. Ravan.
Like deepest mire below:,BOOK III,Canto XXXI. Ravan.
Where the wild floods of battle rave,BOOK III,Canto XXXI. Ravan.
"Above the foeman's head,",BOOK III,Canto XXXI. Ravan.
And each with many a feathery wave,BOOK III,Canto XXXI. Ravan.
Of shafts is garlanded.,BOOK III,Canto XXXI. Ravan.
"O, quench the flames that in thy breast",BOOK III,Canto XXXI. Ravan.
With raging fury burn;,BOOK III,Canto XXXI. Ravan.
And pacified and self-possessed,BOOK III,Canto XXXI. Ravan.
To Lanka's town return.,BOOK III,Canto XXXI. Ravan.
Rest thou in her imperial bowers,BOOK III,Canto XXXI. Ravan.
"With thine own wives content,",BOOK III,Canto XXXI. Ravan.
And in the wood let Rama's hours,BOOK III,Canto XXXI. Ravan.
"With Sita still be spent.""",BOOK III,Canto XXXI. Ravan.
The lord of Lanka's isle obeyed,BOOK III,Canto XXXI. Ravan.
"The counsel, and his purpose stayed.",BOOK III,Canto XXXI. Ravan.
Borne on his car he parted thence,BOOK III,Canto XXXI. Ravan.
And gained his royal residence.,BOOK III,Canto XXXI. Ravan.
But Surpanakha saw the plain,BOOK III,Canto XXXII. Ravan Roused.
"Spread with the fourteen thousand slain,",BOOK III,Canto XXXII. Ravan Roused.
Doers of cruel deeds o'erthrown,BOOK III,Canto XXXII. Ravan Roused.
"By Rama's mighty arm alone,",BOOK III,Canto XXXII. Ravan Roused.
"Add Trisiras and Dushan dead,",BOOK III,Canto XXXII. Ravan Roused.
"And Khara, with the hosts they led.",BOOK III,Canto XXXII. Ravan Roused.
"Their death she saw, and mad with pain,",BOOK III,Canto XXXII. Ravan Roused.
"Roared like a cloud that brings the rain,",BOOK III,Canto XXXII. Ravan Roused.
And fled in anger and dismay,BOOK III,Canto XXXII. Ravan Roused.
"To Lanka, seat of Ravan's sway.",BOOK III,Canto XXXII. Ravan Roused.
There on a throne of royal state,BOOK III,Canto XXXII. Ravan Roused.
"Exalted sat the potentate,",BOOK III,Canto XXXII. Ravan Roused.
"Begirt with counsellor and peer,",BOOK III,Canto XXXII. Ravan Roused.
Like Indra with the Storm Gods near.,BOOK III,Canto XXXII. Ravan Roused.
Bright as the sun's full splendour shone,BOOK III,Canto XXXII. Ravan Roused.
"The glorious throne he sat upon,",BOOK III,Canto XXXII. Ravan Roused.
As when the blazing fire is red,BOOK III,Canto XXXII. Ravan Roused.
Upon a golden altar fed.,BOOK III,Canto XXXII. Ravan Roused.
"Wide gaped his mouth at every breath,",BOOK III,Canto XXXII. Ravan Roused.
Tremendous as the jaws of Death.,BOOK III,Canto XXXII. Ravan Roused.
"With him high saints of lofty thought,",BOOK III,Canto XXXII. Ravan Roused.
"Gandharvas, Gods, had vainly fought.",BOOK III,Canto XXXII. Ravan Roused.
The wounds were on his body yet,BOOK III,Canto XXXII. Ravan Roused.
From wars where Gods and demons met.,BOOK III,Canto XXXII. Ravan Roused.
And scars still marked his ample chest,BOOK III,Canto XXXII. Ravan Roused.
By fierce Airavat's(484) tusk impressed.,BOOK III,Canto XXXII. Ravan Roused.
"A score of arms, ten necks, had he,",BOOK III,Canto XXXII. Ravan Roused.
His royal gear was brave to see.,BOOK III,Canto XXXII. Ravan Roused.
His massive form displayed each sign,BOOK III,Canto XXXII. Ravan Roused.
That marks the heir of kingly line.,BOOK III,Canto XXXII. Ravan Roused.
"In stature like a mountain height,",BOOK III,Canto XXXII. Ravan Roused.
"His arms were strong, his teeth were white,",BOOK III,Canto XXXII. Ravan Roused.
And all his frame of massive mould,BOOK III,Canto XXXII. Ravan Roused.
Seemed lazulite adorned with gold.,BOOK III,Canto XXXII. Ravan Roused.
A hundred seams impressed each limp,BOOK III,Canto XXXII. Ravan Roused.
"Where Vishnu's arm had wounded him,",BOOK III,Canto XXXII. Ravan Roused.
And chest and shoulder bore the print,BOOK III,Canto XXXII. Ravan Roused.
"Of sword and spear and arrow dint,",BOOK III,Canto XXXII. Ravan Roused.
Where every God had struck a blow,BOOK III,Canto XXXII. Ravan Roused.
In battle with the giant foe.,BOOK III,Canto XXXII. Ravan Roused.
His might to wildest rage could wake,BOOK III,Canto XXXII. Ravan Roused.
"The sea whose faith naught else can shake,",BOOK III,Canto XXXII. Ravan Roused.
"Hurl towering mountains to the earth,",BOOK III,Canto XXXII. Ravan Roused.
And crush e'en foes of heavenly birth.,BOOK III,Canto XXXII. Ravan Roused.
The bonds of law and right he spurned:,BOOK III,Canto XXXII. Ravan Roused.
To others' wives his fancy turned.,BOOK III,Canto XXXII. Ravan Roused.
"Celestial arms he used in fight,",BOOK III,Canto XXXII. Ravan Roused.
And loved to mar each holy rite.,BOOK III,Canto XXXII. Ravan Roused.
"He went to Bhogavati's town,(485)",BOOK III,Canto XXXII. Ravan Roused.
"Where Vasuki was beaten down,",BOOK III,Canto XXXII. Ravan Roused.
"And stole, victorious in the strife,",BOOK III,Canto XXXII. Ravan Roused.
Lord Takshaka's beloved wife.,BOOK III,Canto XXXII. Ravan Roused.
"Kailasa's lofty crest he sought,",BOOK III,Canto XXXII. Ravan Roused.
"And when in vain Kuvera fought,",BOOK III,Canto XXXII. Ravan Roused.
"Stole Pushpak thence, the car that through",BOOK III,Canto XXXII. Ravan Roused.
"The air, as willed the master, flew.",BOOK III,Canto XXXII. Ravan Roused.
"Impelled by furious anger, he",BOOK III,Canto XXXII. Ravan Roused.
"Spoiled Nandan's(486) shade and Nalini,",BOOK III,Canto XXXII. Ravan Roused.
"And Chaitraratha's heavenly grove,",BOOK III,Canto XXXII. Ravan Roused.
The haunts where Gods delight to rove.,BOOK III,Canto XXXII. Ravan Roused.
"Tall as a hill that cleaves the sky,",BOOK III,Canto XXXII. Ravan Roused.
He raised his mighty arms on high,BOOK III,Canto XXXII. Ravan Roused.
"To check the blessed moon, and stay",BOOK III,Canto XXXII. Ravan Roused.
The rising of the Lord of Day.,BOOK III,Canto XXXII. Ravan Roused.
Ten thousand years the giant spent,BOOK III,Canto XXXII. Ravan Roused.
"On dire austerities intent,",BOOK III,Canto XXXII. Ravan Roused.
"And of his heads an offering, laid",BOOK III,Canto XXXII. Ravan Roused.
"Before the Self-existent, made.",BOOK III,Canto XXXII. Ravan Roused.
"No God or fiend his life could take,",BOOK III,Canto XXXII. Ravan Roused.
"Gandharva, goblin, bird, or snake:",BOOK III,Canto XXXII. Ravan Roused.
"Safe from all fears of death, except",BOOK III,Canto XXXII. Ravan Roused.
"From human arm, that life was kept.",BOOK III,Canto XXXII. Ravan Roused.
Oft when the priests began to raise,BOOK III,Canto XXXII. Ravan Roused.
"Their consecrating hymns of praise,",BOOK III,Canto XXXII. Ravan Roused.
He spoiled the Soma's sacred juice,BOOK III,Canto XXXII. Ravan Roused.
Poured forth by them in solemn use.,BOOK III,Canto XXXII. Ravan Roused.
"The sacrifice his hands o'erthrew,",BOOK III,Canto XXXII. Ravan Roused.
And cruelly the Brahmans slew.,BOOK III,Canto XXXII. Ravan Roused.
"His was a heart that naught could melt,",BOOK III,Canto XXXII. Ravan Roused.
Joying in woes which others felt.,BOOK III,Canto XXXII. Ravan Roused.
"She saw the ruthless monster there,",BOOK III,Canto XXXII. Ravan Roused.
"Dread of the worlds, unused to spare.",BOOK III,Canto XXXII. Ravan Roused.
"In robes of heavenly texture dressed,",BOOK III,Canto XXXII. Ravan Roused.
Celestial wreaths adorned his breast.,BOOK III,Canto XXXII. Ravan Roused.
"He sat a shape of terror, like",BOOK III,Canto XXXII. Ravan Roused.
Destruction ere the worlds it strike.,BOOK III,Canto XXXII. Ravan Roused.
"She saw him in his pride of place,",BOOK III,Canto XXXII. Ravan Roused.
"The joy of old Pulastya's(487) race,",BOOK III,Canto XXXII. Ravan Roused.
"Begirt by counsellor and peer,",BOOK III,Canto XXXII. Ravan Roused.
"Ravan, the foeman's mortal fear,",BOOK III,Canto XXXII. Ravan Roused.
"And terror in her features shown,",BOOK III,Canto XXXII. Ravan Roused.
The giantess approached the throne.,BOOK III,Canto XXXII. Ravan Roused.
Then Surpanakha bearing yet,BOOK III,Canto XXXII. Ravan Roused.
Each deeply printed trace,BOOK III,Canto XXXII. Ravan Roused.
Where the great-hearted chief had set,BOOK III,Canto XXXII. Ravan Roused.
"A mark upon her face,",BOOK III,Canto XXXII. Ravan Roused.
"Impelled by terror and desire,",BOOK III,Canto XXXII. Ravan Roused.
"Still fierce, no longer bold,",BOOK III,Canto XXXII. Ravan Roused.
To Ravan of the eyes of fire,BOOK III,Canto XXXII. Ravan Roused.
"Her tale, infuriate, told.",BOOK III,Canto XXXII. Ravan Roused.
"Burning with anger, in the ring",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Of counsellors who girt their king,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"To Ravan, ravener of man,",BOOK III,Canto XXXIII. Surpanakha's Speech.
With bitter words she thus began:,BOOK III,Canto XXXIII. Surpanakha's Speech.
"""Wilt thou absorbed in pleasure, still",BOOK III,Canto XXXIII. Surpanakha's Speech.
Pursue unchecked thy selfish will:,BOOK III,Canto XXXIII. Surpanakha's Speech.
Nor turn thy heedless eyes to see,BOOK III,Canto XXXIII. Surpanakha's Speech.
The coming fate which threatens thee?,BOOK III,Canto XXXIII. Surpanakha's Speech.
The king who days and hours employs,BOOK III,Canto XXXIII. Surpanakha's Speech.
In base pursuit of vulgar joys,BOOK III,Canto XXXIII. Surpanakha's Speech.
Must in his people's sight be vile,BOOK III,Canto XXXIII. Surpanakha's Speech.
As fire that smokes on funeral pile.,BOOK III,Canto XXXIII. Surpanakha's Speech.
He who when duty calls him spares,BOOK III,Canto XXXIII. Surpanakha's Speech.
"No time for thought of royal cares,",BOOK III,Canto XXXIII. Surpanakha's Speech.
Must with his realm and people all,BOOK III,Canto XXXIII. Surpanakha's Speech.
Involved in fatal ruin fall.,BOOK III,Canto XXXIII. Surpanakha's Speech.
As elephants in terror shrink,BOOK III,Canto XXXIII. Surpanakha's Speech.
"From the false river's miry brink,",BOOK III,Canto XXXIII. Surpanakha's Speech.
Thus subjects from a monarch flee,BOOK III,Canto XXXIII. Surpanakha's Speech.
"Whose face their eyes may seldom see,",BOOK III,Canto XXXIII. Surpanakha's Speech.
Who spends the hours for toil ordained,BOOK III,Canto XXXIII. Surpanakha's Speech.
In evil courses unrestrained.,BOOK III,Canto XXXIII. Surpanakha's Speech.
He who neglects to guard and hold,BOOK III,Canto XXXIII. Surpanakha's Speech.
"His kingdom by himself controlled,",BOOK III,Canto XXXIII. Surpanakha's Speech.
Sinks nameless like a hill whose head,BOOK III,Canto XXXIII. Surpanakha's Speech.
Is buried in the ocean's bed.,BOOK III,Canto XXXIII. Surpanakha's Speech.
"Thy foes are calm and strong and wise,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Fiends, Gods, and warriors of the skies,--",BOOK III,Canto XXXIII. Surpanakha's Speech.
"How, heedless, wicked, weak, and vain,",BOOK III,Canto XXXIII. Surpanakha's Speech.
Wilt thou thy kingly state maintain?,BOOK III,Canto XXXIII. Surpanakha's Speech.
"Thou, lord of giants, void of sense,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Slave of each changing influence,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Heedless of all that makes a king,",BOOK III,Canto XXXIII. Surpanakha's Speech.
Destruction on thy head wilt bring.,BOOK III,Canto XXXIII. Surpanakha's Speech.
"O conquering chief, the prince, who boasts,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Of treasury and rule and hosts,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"By others led, though lord of all,",BOOK III,Canto XXXIII. Surpanakha's Speech.
Is meaner than the lowest thrall.,BOOK III,Canto XXXIII. Surpanakha's Speech.
For this are monarchs said to be,BOOK III,Canto XXXIII. Surpanakha's Speech.
"Long-sighted, having power to see",BOOK III,Canto XXXIII. Surpanakha's Speech.
Things far away by faithful eyes,BOOK III,Canto XXXIII. Surpanakha's Speech.
Of messengers and loyal spies.,BOOK III,Canto XXXIII. Surpanakha's Speech.
But aid from such thou wilt not seek:,BOOK III,Canto XXXIII. Surpanakha's Speech.
"Thy counsellors are blind and weak,",BOOK III,Canto XXXIII. Surpanakha's Speech.
Or thou from these hadst surely known,BOOK III,Canto XXXIII. Surpanakha's Speech.
Thy legions and thy realm o'erthrown.,BOOK III,Canto XXXIII. Surpanakha's Speech.
"Know, twice seven thousand, fierce in might,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Are slain by Rama in the fight,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"And they, the giant host who led,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Khara and Dushan, both are dead.",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Know, Rama with his conquering arm",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Has freed the saints from dread of harm,",BOOK III,Canto XXXIII. Surpanakha's Speech.
Has smitten Janasthan and made,BOOK III,Canto XXXIII. Surpanakha's Speech.
Asylum safe in Dandak's shade.,BOOK III,Canto XXXIII. Surpanakha's Speech.
"Enslaved and dull, of blinded sight,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Intoxicate with vain delight,",BOOK III,Canto XXXIII. Surpanakha's Speech.
Thou closest still thy heedless eyes,BOOK III,Canto XXXIII. Surpanakha's Speech.
To dangers in thy realm that rise.,BOOK III,Canto XXXIII. Surpanakha's Speech.
"A king besotted, mean, unkind,",BOOK III,Canto XXXIII. Surpanakha's Speech.
Of niggard hand and slavish mind.,BOOK III,Canto XXXIII. Surpanakha's Speech.
Will find no faithful followers heed,BOOK III,Canto XXXIII. Surpanakha's Speech.
Their master in his hour of need.,BOOK III,Canto XXXIII. Surpanakha's Speech.
"The friend on whom he most relies,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"In danger, from a monarch flies,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Imperious in his high estate,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Conceited, proud, and passionate;",BOOK III,Canto XXXIII. Surpanakha's Speech.
Who ne'er to state affairs attends,BOOK III,Canto XXXIII. Surpanakha's Speech.
With wholesome fear when woe impends,BOOK III,Canto XXXIII. Surpanakha's Speech.
"Most weak and worthless as the grass,",BOOK III,Canto XXXIII. Surpanakha's Speech.
Soon from his sway the realm will pass.,BOOK III,Canto XXXIII. Surpanakha's Speech.
"For rotting wood a use is found,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"For clods and dust that strew the ground,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"But when a king has lost his sway,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Useless he falls, and sinks for aye.",BOOK III,Canto XXXIII. Surpanakha's Speech.
"As raiment by another worn,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"As faded garland crushed and torn,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"So is, unthroned, the proudest king,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Though mighty once, a useless thing.",BOOK III,Canto XXXIII. Surpanakha's Speech.
But he who every sense subdues,BOOK III,Canto XXXIII. Surpanakha's Speech.
"And each event observant views,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Rewards the good and keeps from wrong,",BOOK III,Canto XXXIII. Surpanakha's Speech.
Shall reign secure and flourish long.,BOOK III,Canto XXXIII. Surpanakha's Speech.
Though lulled in sleep his senses lie,BOOK III,Canto XXXIII. Surpanakha's Speech.
"He watches with a ruler's eye,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Untouched by favour, ire, and hate,",BOOK III,Canto XXXIII. Surpanakha's Speech.
And him the people celebrate.,BOOK III,Canto XXXIII. Surpanakha's Speech.
"O weak of mind, without a trace",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Of virtues that a king should grace,",BOOK III,Canto XXXIII. Surpanakha's Speech.
Who hast not learnt from watchful spy,BOOK III,Canto XXXIII. Surpanakha's Speech.
That low in death the giants lie.,BOOK III,Canto XXXIII. Surpanakha's Speech.
"Scorner of others, but enchained",BOOK III,Canto XXXIII. Surpanakha's Speech.
"By every base desire,",BOOK III,Canto XXXIII. Surpanakha's Speech.
By thee each duty is disdained,BOOK III,Canto XXXIII. Surpanakha's Speech.
Which time and place require.,BOOK III,Canto XXXIII. Surpanakha's Speech.
"Soon wilt thou, if thou canst not learn,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Ere yet it be too late,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"The good from evil to discern,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Fall from thy high estate.""",BOOK III,Canto XXXIII. Surpanakha's Speech.
As thus she ceased not to upbraid,BOOK III,Canto XXXIII. Surpanakha's Speech.
"The king with cutting speech,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"And every fault to view displayed,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Naming and marking each,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"The monarch of the sons of night,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"Of wealth and power possessed,",BOOK III,Canto XXXIII. Surpanakha's Speech.
"And proud of his imperial might,",BOOK III,Canto XXXIII. Surpanakha's Speech.
Long pondered in his breast.,BOOK III,Canto XXXIII. Surpanakha's Speech.
Then forth the giant's fury broke,BOOK III,Canto XXXIV. Surpanakha's Speech.
As Surpanakha harshly spoke.,BOOK III,Canto XXXIV. Surpanakha's Speech.
Girt by his lords the demon king,BOOK III,Canto XXXIV. Surpanakha's Speech.
"Looked on her, fiercely questioning:",BOOK III,Canto XXXIV. Surpanakha's Speech.
"""Who is this Rama, whence, and where?",BOOK III,Canto XXXIV. Surpanakha's Speech.
"His form, his might, his deeds declare.",BOOK III,Canto XXXIV. Surpanakha's Speech.
His wandering steps what purpose led,BOOK III,Canto XXXIV. Surpanakha's Speech.
"To Dandak forest, hard to tread?",BOOK III,Canto XXXIV. Surpanakha's Speech.
What arms are his that he could smite,BOOK III,Canto XXXIV. Surpanakha's Speech.
"In fray the rovers of the night,",BOOK III,Canto XXXIV. Surpanakha's Speech.
And Trisiras and Dushan lay,BOOK III,Canto XXXIV. Surpanakha's Speech.
"Low on the earth, and Khara slay?",BOOK III,Canto XXXIV. Surpanakha's Speech.
"Tell all, my sister, and declare",BOOK III,Canto XXXIV. Surpanakha's Speech.
"Who maimed thee thus, of form most fair.""",BOOK III,Canto XXXIV. Surpanakha's Speech.
"Thus by the giant king addressed,",BOOK III,Canto XXXIV. Surpanakha's Speech.
"While burnt her fury unrepressed,",BOOK III,Canto XXXIV. Surpanakha's Speech.
The giantess declared at length,BOOK III,Canto XXXIV. Surpanakha's Speech.
The hero's form and deeds and strength:,BOOK III,Canto XXXIV. Surpanakha's Speech.
"""Long are his arms and large his eyes:",BOOK III,Canto XXXIV. Surpanakha's Speech.
A black deer's skin his dress supplies.,BOOK III,Canto XXXIV. Surpanakha's Speech.
"King Dasaratha's son is he,",BOOK III,Canto XXXIV. Surpanakha's Speech.
Fair as Kandarpa's self to see.,BOOK III,Canto XXXIV. Surpanakha's Speech.
"Adorned with many a golden band,",BOOK III,Canto XXXIV. Surpanakha's Speech.
"A bow, like Indra's, arms his hand,",BOOK III,Canto XXXIV. Surpanakha's Speech.
And shoots a flood of arrows fierce,BOOK III,Canto XXXIV. Surpanakha's Speech.
As venomed snakes to burn and pierce.,BOOK III,Canto XXXIV. Surpanakha's Speech.
"I looked, I looked, but never saw",BOOK III,Canto XXXIV. Surpanakha's Speech.
His mighty hand the bowstring draw,BOOK III,Canto XXXIV. Surpanakha's Speech.
"That sent the deadly arrows out,",BOOK III,Canto XXXIV. Surpanakha's Speech.
While rang through air his battle-shout.,BOOK III,Canto XXXIV. Surpanakha's Speech.
"I looked, I looked, and saw too well",BOOK III,Canto XXXIV. Surpanakha's Speech.
"How with that hail the giants fell,",BOOK III,Canto XXXIV. Surpanakha's Speech.
"As falls to earth the golden grain,",BOOK III,Canto XXXIV. Surpanakha's Speech.
Struck by the blows of Indra's rain.,BOOK III,Canto XXXIV. Surpanakha's Speech.
"He fought, and twice seven thousand, all",BOOK III,Canto XXXIV. Surpanakha's Speech.
"Terrific giants, strong and tall,",BOOK III,Canto XXXIV. Surpanakha's Speech.
Fell by the pointed shafts o'erthrown,BOOK III,Canto XXXIV. Surpanakha's Speech.
"Which Rama shot on foot, alone.",BOOK III,Canto XXXIV. Surpanakha's Speech.
"Three little hours had scarcely fled,--",BOOK III,Canto XXXIV. Surpanakha's Speech.
"Khara and Dushan both were dead,",BOOK III,Canto XXXIV. Surpanakha's Speech.
And he had freed the saints and made,BOOK III,Canto XXXIV. Surpanakha's Speech.
Asylum sure in Dandak's shade.,BOOK III,Canto XXXIV. Surpanakha's Speech.
